section,adjacent_family_pool_size,boundary_contrast_pool_size,candidate_ids_in_multiple_pools,negative_control_pool_size,pairwise_candidate_overlap_counts,same_family_pool_size,unique_candidate_count_across_all_pools,wildcard_pool_size,available,chemical_system_count,chemistry_diversity_proxy,composition_family_count,crystal_system_count,dominant_chemical_system,dominant_composition_family,dominant_crystal_system_code,dominant_formula_family,dominant_material_family,dominant_prototype_family,dominant_spacegroup_number,dominant_spacegroup_symbol,dominant_structure_variant,duplicate_candidate_count,duplicate_formula_count,energy_above_hull_missing_rate,formula_family_count,formula_family_purity_proxy,known_synthesized_missing_rate,known_synthesized_rate,material_family_count,missing_required_columns,pool_diversity_score,pool_name,prototype_family_count,prototype_purity_proxy,query_similarity_score,retrieval_completeness_proxy,same_composition_family_rate,same_crystal_system_rate,same_formula_family_rate,same_material_family_rate,same_prototype_family_rate,same_spacegroup_rate,same_structure_variant_rate,size,spacegroup_count,spacegroup_purity_proxy,stable_fraction_ehull_le_0_1,structural_diversity_proxy,structural_regime_diversity_score,structure_variant_count,structure_variant_purity_proxy
structural_neighbourhood,500,500,68,100,"{'adjacent_family__boundary_contrast': 0, 'adjacent_family__negative_control': 0, 'adjacent_family__wildcard': 0, 'boundary_contrast__negative_control': 0, 'boundary_contrast__wildcard': 0, 'same_family__adjacent_family': 0, 'same_family__boundary_contrast': 68, 'same_family__negative_control': 0, 'same_family__wildcard': 0, 'wildcard__negative_control': 0}",500,1632,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pool_adjacent_family,,,,,,,,,True,225,0.19948577728192599,1,7,Ca-Mn-O,oxide,2,ABO3,oxide,perovskite_like,12,,perovskite_like_unknown_variant,0,215,0.0,7,0.401542668154222,0.61,1.0,1,[],0.5265405938530701,adjacent_family,5,0.29203827039027197,0.46591722222222226,1.0,1.0,0.418,0.0,1.0,0.0,0.026,0.0,500,55,0.19121273586255216,0.91,0.7718317062814282,0.7718317062814282,17,0.25169569744234466
pool_boundary_contrast,,,,,,,,,True,222,0.26553107737247245,1,5,Co-Li-Mn-O,oxide,5,AB2C3D8,oxide,unknown,166,,unknown,0,148,0.0,95,0.20340676788258272,0.852,1.0,1,[],0.328856151196554,boundary_contrast,1,1.0,0.751575,1.0,1.0,0.0,0.034,1.0,1.0,0.0,1.0,500,53,0.25823965495223955,0.972,0.3763499565646151,0.3763499565646151,1,1.0
pool_negative_control,,,,,,,,,True,85,0.8159289713894534,3,7,S-Ta,chalcogenide,5,AB2,chalcogenide,dichalcogenide_like,164,,layered_chalcogenide_candidate,0,14,0.0,4,0.27635213601763087,0.5900000000000001,1.0,3,[],0.8753176913882265,negative_control,2,0.023499531242175853,0.2425,1.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,100,33,0.16621307098441018,0.95,0.9198592313873062,0.9198592313873062,2,0.023499531242175853
pool_same_family,,,,,,,,,True,165,0.2665422000444115,1,7,Co-Li-Mn-O,oxide,2,AB2C4D7,oxide,unknown,8,,unknown,0,154,0.0,104,0.2003733998667656,0.968,1.0,1,[],0.28009470028565503,same_family,1,1.0,0.80965,1.0,1.0,0.666,0.15,1.0,1.0,0.468,1.0,500,46,0.40791071359402287,0.924,0.29025907546658775,0.29025907546658775,1,1.0
pool_wildcard,,,,,,,,,True,35,0.2948359540254489,1,4,Co-Li-Mn-O,oxide,2,ABCD4,oxide,unknown,12,,unknown,0,17,0.0,43,0.11549213792365343,0.98,1.0,1,[],0.3548317905723987,wildcard,1,1.0,0.8135194444444445,0.2,1.0,0.53,0.03,1.0,1.0,0.01,1.0,100,25,0.1630391493840595,1.0,0.3998286679826112,0.3998286679826112,1,1.0
