pool_name,n_candidates,empty_pool,duplicate_candidate_count,duplicate_formula_count,missing_required_columns,same_chemical_system_rate,same_composition_family_rate,same_material_family_rate,same_formula_family_rate,same_prototype_family_rate,same_structure_variant_rate,mean_element_overlap_count,mean_element_overlap_fraction_query,chemical_system_count,composition_family_count,material_family_count,formula_family_count,prototype_family_count,structure_variant_count,composition_family_entropy,material_family_entropy,formula_family_entropy,prototype_family_entropy,structure_variant_entropy,dominant_chemical_system,dominant_composition_family,dominant_material_family,dominant_formula_family,dominant_prototype_family,dominant_structure_variant,material_type_count,dataset_kind_count,dominant_material_type,dominant_dataset_kind,selection_reason_count,selection_reason_distribution,mean_selection_score,median_selection_score,same_spacegroup_rate,mean_symmetry_distance,median_symmetry_distance,spacegroup_count,crystal_system_count,spacegroup_entropy,crystal_system_entropy,dominant_spacegroup_number,dominant_spacegroup_symbol,dominant_crystal_system_code,same_crystal_system_rate,mean_energy_above_hull,median_energy_above_hull,std_energy_above_hull,stable_fraction_ehull_le_0_1,zero_hull_fraction,known_synthesized_rate,stability_label_count,dominant_stability_label,formation_energy_mean,formation_energy_peratom_mean,energy_above_hull_missing_rate,known_synthesized_missing_rate,chemical_similarity_score,family_similarity_score,symmetry_similarity_score,structural_metadata_similarity_score,query_similarity_score,pool_diversity_score,structural_regime_diversity_score
same_family,500,False,0,154,[],0.1,1.0,1.0,0.15,1.0,1.0,2.882,0.7205,165,1,1,104,1,1,0.0,0.0,0.7996266001332344,0.0,0.0,Co-Li-Mn-O,oxide,oxide,AB2C4D7,unknown,unknown,1,1,bulk,dft_3d,1,{'same rich family/formula/prototype/composition/chemical context': 500},10.787,10.0,0.468,23.41,2.0,46,7,0.5920892864059771,0.5689470154603739,8,,2,0.666,0.052592799999999995,0.04605,0.04815873498827957,0.924,0.178,1.0,2,stable_or_known,-1.94740834,-1.94740834,0.0,0.968,0.6068333333333333,0.8300000000000001,0.6333000000000001,0.8777666666666667,0.80965,0.28009470028565503,0.29025907546658775
adjacent_family,500,False,0,215,[],0.0,1.0,1.0,0.0,0.0,0.0,1.726,0.4315,225,1,1,7,5,17,0.0,0.0,0.598457331845778,0.707961729609728,0.7483043025576553,Ca-Mn-O,oxide,oxide,ABO3,perovskite_like,perovskite_like_unknown_variant,2,2,bulk,dft_3d,1,{'shares elements or related family context but is not the same chemical system/variant': 500},3.8236715547188953,4.0026809844172275,0.026,75.548,54.0,55,7,0.8087872641374478,0.8222735288208813,12,,2,0.418,0.0405514,0.01645,0.05744298086050445,0.91,0.322,1.0,2,stable_or_known,-1.99638796,-1.99638796,0.0,0.61,0.4771666666666667,0.4,0.22950666666666664,0.07650222222222221,0.46591722222222226,0.5265405938530701,0.7718317062814282
boundary_contrast,500,False,0,148,[],0.05,1.0,1.0,0.034,1.0,1.0,2.53,0.6325,222,1,1,95,1,1,0.0,0.0,0.7965932321174173,0.0,0.0,Co-Li-Mn-O,oxide,oxide,AB2C3D8,unknown,unknown,2,2,bulk,dft_3d,1,{'related formula/prototype/chemistry/family with different symmetry or variant metadata': 500},6.69215,6.5,0.0,149.898,158.0,53,5,0.7417603450477604,0.7636394812106999,166,,5,0.0,0.045068399999999995,0.02965,0.11245943789555223,0.972,0.23,1.0,2,stable_or_known,-1.93709212,-1.93709212,0.0,0.852,0.5608333333333333,0.8068,0.0,0.6666666666666666,0.751575,0.328856151196554,0.3763499565646151
wildcard,100,False,0,17,[],0.1,1.0,1.0,0.03,1.0,1.0,3.1,0.775,35,1,1,43,1,1,0.0,0.0,0.8845078620763466,0.0,0.0,Co-Li-Mn-O,oxide,oxide,ABCD4,unknown,unknown,1,1,bulk,dft_3d,1,{'deterministic stable/known wildcard sample outside selected pools': 100},2.8875,2.875,0.01,13.23,6.0,25,4,0.8369608506159405,0.7623538213145041,12,,2,0.53,0.044771,0.04525,0.034037992127633025,1.0,0.15,1.0,1,stable_or_known,-1.9577057,-1.9577057,0.0,0.98,0.625,0.806,0.46923333333333334,0.8230777777777778,0.8135194444444445,0.3548317905723987,0.3998286679826112
negative_control,100,False,0,14,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85,3,3,4,2,2,0.8620695250929957,0.8620695250929957,0.7236478639823691,0.9765004687578241,0.9765004687578241,S-Ta,chalcogenide,chalcogenide,AB2,dichalcogenide_like,layered_chalcogenide_candidate,2,2,bulk,dft_3d,1,{'deliberately unrelated chemistry/family control pool': 100},7.75,7.75,0.0,112.91,156.0,33,7,0.8337869290155898,0.8926490590179864,164,,5,0.18,0.029787000000000004,0.00095,0.05420997272111694,0.95,0.46,1.0,1,stable_or_known,-0.7061488000000002,-0.7061488000000002,0.0,0.5900000000000001,0.0,0.0,0.06,0.02,0.2425,0.8753176913882265,0.9198592313873062
