pool_name,query_jid,query_formula,candidate_jid,formula,reduced_formula,material_type,dataset_kind,chemical_system,composition_family,material_family,formula_family,prototype_family,structure_variant,family_confidence,same_formula_family,same_prototype_family,same_structure_variant,elements,element_overlap_count,element_overlap_fraction_query,same_chemical_system,same_composition_family,same_material_family,spacegroup_number,spacegroup_symbol,crystal_system_code,symmetry_match,symmetry_distance,formation_energy,formation_energy_peratom,energy_above_hull,known_synthesized,stability_label,selection_reason,selection_score,rank_in_pool,missing_fields
boundary_contrast,JVASP-142153,Li7Mn2Co3O12,JVASP-143992,Mn5O5F,Mn5O5F,bulk,dft_3d,F-Mn-O,oxide,oxide,AB5C5,unknown,unknown,0.35,False,True,True,F;Mn;O,2,0.5,False,True,True,156,,5,False,148.0,-1.54858,-1.54858,0.0,,stable_or_known,related formula/prototype/chemistry/family with different symmetry or variant metadata,6.5,325,known_synthesized
boundary_contrast,JVASP-142153,Li7Mn2Co3O12,JVASP-47054,Li2FeNiO4,Li2FeNiO4,bulk,dft_3d,Fe-Li-Ni-O,oxide,oxide,ABC2D4,unknown,unknown,0.35,False,True,True,Fe;Li;Ni;O,2,0.5,False,True,True,119,,4,False,111.0,-1.61261,-1.61261,0.0599,,stable_or_known,related formula/prototype/chemistry/family with different symmetry or variant metadata,6.5,326,known_synthesized
boundary_contrast,JVASP-142153,Li7Mn2Co3O12,JVASP-8630,NdMnAsO,NdMnAsO,bulk,dft_3d,As-Mn-Nd-O,oxide,oxide,ABCD,unknown,unknown,0.35,False,True,True,As;Mn;Nd;O,2,0.5,False,True,True,129,,4,False,121.0,-1.83139,-1.83139,0.0,True,stable_or_known,related formula/prototype/chemistry/family with different symmetry or variant metadata,6.5,327,
boundary_contrast,JVASP-142153,Li7Mn2Co3O12,JVASP-119453,SrLa2Mn3O9,SrLa2Mn3O9,bulk,dft_3d,La-Mn-O-Sr,oxide,oxide,AB2C3D9,unknown,unknown,0.35,False,True,True,La;Mn;O;Sr,2,0.5,False,True,True,164,,5,False,156.0,-2.79108,-2.79108,0.0029000000000000002,,stable_or_known,related formula/prototype/chemistry/family with different symmetry or variant metadata,6.5,328,known_synthesized
boundary_contrast,JVASP-142153,Li7Mn2Co3O12,JVASP-99977,La2GaCoO6,La2GaCoO6,bulk,dft_3d,Co-Ga-La-O,oxide,oxide,ABC2D6,unknown,unknown,0.35,False,True,True,Co;Ga;La;O,2,0.5,False,True,True,148,,5,False,140.0,-2.69433,-2.69433,0.0269,,stable_or_known,related formula/prototype/chemistry/family with different symmetry or variant metadata,6.5,329,known_synthesized
boundary_contrast,JVASP-142153,Li7Mn2Co3O12,JVASP-95309,Li2Ca2Ta3O10,Li2Ca2Ta3O10,bulk,dft_3d,Ca-Li-O-Ta,oxide,oxide,A2B2C3D10,unknown,unknown,0.35,False,True,True,Ca;Li;O;Ta,2,0.5,False,True,True,139,,4,False,131.0,-3.02679,-3.02679,0.0516,True,stable_or_known,related formula/prototype/chemistry/family with different symmetry or variant metadata,6.5,330,
boundary_contrast,JVASP-142153,Li7Mn2Co3O12,JVASP-26005,TiMnH12O6F6,TiMnH12(OF)6,bulk,dft_3d,F-H-Mn-O-Ti,oxide,oxide,ABCDE12,unknown,unknown,0.35,False,True,True,F;H;Mn;O;Ti,2,0.5,False,True,True,148,,5,False,140.0,-1.65631,-1.65631,0.0,True,stable_or_known,related formula/prototype/chemistry/family with different symmetry or variant metadata,6.5,331,
boundary_contrast,JVASP-142153,Li7Mn2Co3O12,JVASP-103126,Ba2TaMnO6,Ba2TaMnO6,bulk,dft_3d,Ba-Mn-O-Ta,oxide,oxide,ABC2D6,unknown,unknown,0.35,False,True,True,Ba;Mn;O;Ta,2,0.5,False,True,True,225,,7,False,217.0,-2.90434,-2.90434,0.0,,stable_or_known,related formula/prototype/chemistry/family with different symmetry or variant metadata,6.5,332,known_synthesized
boundary_contrast,JVASP-142153,Li7Mn2Co3O12,JVASP-57228,Sr2Mn3Bi2O2,Sr2Mn3(BiO)2,bulk,dft_3d,Bi-Mn-O-Sr,oxide,oxide,ABC2D3,unknown,unknown,0.35,False,True,True,Bi;Mn;O;Sr,2,0.5,False,True,True,139,,4,False,131.0,-1.03099,-1.03099,0.31370000000000003,True,stable_or_known,related formula/prototype/chemistry/family with different symmetry or variant metadata,6.5,333,
boundary_contrast,JVASP-142153,Li7Mn2Co3O12,JVASP-48472,Na6CoO4,Na6CoO4,bulk,dft_3d,Co-Na-O,oxide,oxide,AB4C6,unknown,unknown,0.35,False,True,True,Co;Na;O,2,0.5,False,True,True,186,,6,False,178.0,-1.32439,-1.32439,0.0816,,stable_or_known,related formula/prototype/chemistry/family with different symmetry or variant metadata,6.5,334,known_synthesized
boundary_contrast,JVASP-142153,Li7Mn2Co3O12,JVASP-116805,YbMn4Cu3O12,YbMn4(CuO4)3,bulk,dft_3d,Cu-Mn-O-Yb,oxide,oxide,ABC4D4,unknown,unknown,0.35,False,True,True,Cu;Mn;O;Yb,2,0.5,False,True,True,204,,7,False,196.0,-1.77058,-1.77058,0.0,,stable_or_known,related formula/prototype/chemistry/family with different symmetry or variant metadata,6.5,335,known_synthesized
boundary_contrast,JVASP-142153,Li7Mn2Co3O12,JVASP-143912,Sr2LaMn2O7,Sr2LaMn2O7,bulk,dft_3d,La-Mn-O-Sr,oxide,oxide,AB2C2D7,unknown,unknown,0.35,False,True,True,La;Mn;O;Sr,2,0.5,False,True,True,139,,4,False,131.0,-2.82335,-2.82335,0.00030000000000000003,,stable_or_known,related formula/prototype/chemistry/family with different symmetry or variant metadata,6.5,336,known_synthesized
boundary_contrast,JVASP-142153,Li7Mn2Co3O12,JVASP-112772,Sr2CoClO3,Sr2CoClO3,bulk,dft_3d,Cl-Co-O-Sr,oxide,oxide,ABC2D3,unknown,unknown,0.35,False,True,True,Cl;Co;O;Sr,2,0.5,False,True,True,129,,4,False,121.0,-2.34079,-2.34079,0.0,,stable_or_known,related formula/prototype/chemistry/family with different symmetry or variant metadata,6.5,337,known_synthesized
boundary_contrast,JVASP-142153,Li7Mn2Co3O12,JVASP-8827,Li3TaO4,Li3TaO4,bulk,dft_3d,Li-O-Ta,oxide,oxide,AB3C4,unknown,unknown,0.35,False,True,True,Li;O;Ta,2,0.5,False,True,True,139,,4,False,131.0,-2.66224,-2.66224,0.082,,stable_or_known,related formula/prototype/chemistry/family with different symmetry or variant metadata,6.5,338,known_synthesized
boundary_contrast,JVASP-142153,Li7Mn2Co3O12,JVASP-142486,Sr2YTlCo2O7,Sr2YTlCo2O7,bulk,dft_3d,Co-O-Sr-Tl-Y,oxide,oxide,ABC2D2E7,unknown,unknown,0.35,False,True,True,Co;O;Sr;Tl;Y,2,0.5,False,True,True,123,,4,False,115.0,-2.17512,-2.17512,0.0758,,stable_or_known,related formula/prototype/chemistry/family with different symmetry or variant metadata,6.5,339,known_synthesized
boundary_contrast,JVASP-142153,Li7Mn2Co3O12,JVASP-55303,Mn3TeO6,Mn3TeO6,bulk,dft_3d,Mn-O-Te,oxide,oxide,AB3C6,unknown,unknown,0.35,False,True,True,Mn;O;Te,2,0.5,False,True,True,148,,5,False,140.0,-1.33854,-1.33854,0.2859,True,stable_or_known,related formula/prototype/chemistry/family with different symmetry or variant metadata,6.5,340,
boundary_contrast,JVASP-142153,Li7Mn2Co3O12,JVASP-47768,LiCrO2,LiCrO2,bulk,dft_3d,Cr-Li-O,oxide,oxide,ABC2,unknown,unknown,0.35,False,True,True,Cr;Li;O,2,0.5,False,True,True,141,,4,False,133.0,-2.19139,-2.19139,0.0402,,stable_or_known,related formula/prototype/chemistry/family with different symmetry or variant metadata,6.5,341,known_synthesized
boundary_contrast,JVASP-142153,Li7Mn2Co3O12,JVASP-143924,Li2V3SnO8,Li2V3SnO8,bulk,dft_3d,Li-O-Sn-V,oxide,oxide,AB2C3D8,unknown,unknown,0.35,False,True,True,Li;O;Sn;V,2,0.5,False,True,True,160,,5,False,152.0,-2.32126,-2.32126,0.0761,,stable_or_known,related formula/prototype/chemistry/family with different symmetry or variant metadata,6.5,342,known_synthesized
boundary_contrast,JVASP-142153,Li7Mn2Co3O12,JVASP-146699,Ba3Mn2RuO9,Ba3Mn2RuO9,bulk,dft_3d,Ba-Mn-O-Ru,oxide,oxide,AB2C3D9,unknown,unknown,0.35,False,True,True,Ba;Mn;O;Ru,2,0.5,False,True,True,160,,5,False,152.0,-2.34987,-2.34987,0.0,,stable_or_known,related formula/prototype/chemistry/family with different symmetry or variant metadata,6.5,343,known_synthesized
boundary_contrast,JVASP-142153,Li7Mn2Co3O12,JVASP-102351,Ba2UCoO6,Ba2UCoO6,bulk,dft_3d,Ba-Co-O-U,oxide,oxide,ABC2D6,unknown,unknown,0.35,False,True,True,Ba;Co;O;U,2,0.5,False,True,True,225,,7,False,217.0,-2.87813,-2.87813,0.0,,stable_or_known,related formula/prototype/chemistry/family with different symmetry or variant metadata,6.5,344,known_synthesized
boundary_contrast,JVASP-142153,Li7Mn2Co3O12,JVASP-108109,LiTa2CuO6,LiTa2CuO6,bulk,dft_3d,Cu-Li-O-Ta,oxide,oxide,ABC2D6,unknown,unknown,0.35,False,True,True,Cu;Li;O;Ta,2,0.5,False,True,True,146,,5,False,138.0,-2.58229,-2.58229,0.024800000000000003,,stable_or_known,related formula/prototype/chemistry/family with different symmetry or variant metadata,6.5,345,known_synthesized
boundary_contrast,JVASP-142153,Li7Mn2Co3O12,JVASP-34735,Li2CaTa2O7,Li2CaTa2O7,bulk,dft_3d,Ca-Li-O-Ta,oxide,oxide,AB2C2D7,unknown,unknown,0.35,False,True,True,Ca;Li;O;Ta,2,0.5,False,True,True,139,,4,False,131.0,-2.99982,-2.99982,0.045200000000000004,True,stable_or_known,related formula/prototype/chemistry/family with different symmetry or variant metadata,6.5,346,
boundary_contrast,JVASP-142153,Li7Mn2Co3O12,JVASP-147109,CoSnH12O6F6,CoSnH12(OF)6,bulk,dft_3d,Co-F-H-O-Sn,oxide,oxide,ABCDE12,unknown,unknown,0.35,False,True,True,Co;F;H;O;Sn,2,0.5,False,True,True,148,,5,False,140.0,-1.41109,-1.41109,0.013600000000000001,,stable_or_known,related formula/prototype/chemistry/family with different symmetry or variant metadata,6.5,347,known_synthesized
boundary_contrast,JVASP-142153,Li7Mn2Co3O12,JVASP-109423,MnSnB2O6,MnSn(BO3)2,bulk,dft_3d,B-Mn-O-Sn,oxide,oxide,ABCD3,unknown,unknown,0.35,False,True,True,B;Mn;O;Sn,2,0.5,False,True,True,148,,5,False,140.0,-2.1476,-2.1476,0.0,,stable_or_known,related formula/prototype/chemistry/family with different symmetry or variant metadata,6.5,348,known_synthesized
boundary_contrast,JVASP-142153,Li7Mn2Co3O12,JVASP-140204,LiNi2O4,Li(NiO2)2,bulk,dft_3d,Li-Ni-O,oxide,oxide,ABC2,unknown,unknown,0.35,False,True,True,Li;Ni;O,2,0.5,False,True,True,227,,7,False,219.0,-1.2846,-1.2846,0.0,,stable_or_known,related formula/prototype/chemistry/family with different symmetry or variant metadata,6.5,349,known_synthesized
boundary_contrast,JVASP-142153,Li7Mn2Co3O12,JVASP-102682,Sr2CoRuO6,Sr2CoRuO6,bulk,dft_3d,Co-O-Ru-Sr,oxide,oxide,ABC2D6,unknown,unknown,0.35,False,True,True,Co;O;Ru;Sr,2,0.5,False,True,True,148,,5,False,140.0,-2.01066,-2.01066,0.0,,stable_or_known,related formula/prototype/chemistry/family with different symmetry or variant metadata,6.5,350,known_synthesized
boundary_contrast,JVASP-142153,Li7Mn2Co3O12,JVASP-24340,Li2U3P2O15,Li2U3P2O15,bulk,dft_3d,Li-O-P-U,oxide,oxide,A2B2C3D15,unknown,unknown,0.35,False,True,True,Li;O;P;U,2,0.5,False,True,True,141,,4,False,133.0,-2.87012,-2.87012,0.0,True,stable_or_known,related formula/prototype/chemistry/family with different symmetry or variant metadata,6.5,351,
boundary_contrast,JVASP-142153,Li7Mn2Co3O12,JVASP-58471,CaMn4O8,CaMn4O8,bulk,dft_3d,Ca-Mn-O,oxide,oxide,AB4C8,unknown,unknown,0.35,False,True,True,Ca;Mn;O,2,0.5,False,True,True,166,,5,False,158.0,-2.06195,-2.06195,0.036500000000000005,,stable_or_known,related formula/prototype/chemistry/family with different symmetry or variant metadata,6.5,352,known_synthesized
boundary_contrast,JVASP-142153,Li7Mn2Co3O12,JVASP-7887,CoO,CoO,bulk,dft_3d,Co-O,oxide,oxide,AB,unknown,unknown,0.35,False,True,True,Co;O,2,0.5,False,True,True,225,,7,False,217.0,-0.6606500000000001,-0.6606500000000001,0.3109,True,stable_or_known,related formula/prototype/chemistry/family with different symmetry or variant metadata,6.5,353,
boundary_contrast,JVASP-142153,Li7Mn2Co3O12,JVASP-78960,LiVO2,LiVO2,bulk,dft_3d,Li-O-V,oxide,oxide,ABC2,unknown,unknown,0.35,False,True,True,Li;O;V,2,0.5,False,True,True,166,,5,False,158.0,-2.42718,-2.42718,0.0784,,stable_or_known,related formula/prototype/chemistry/family with different symmetry or variant metadata,6.5,354,known_synthesized
boundary_contrast,JVASP-142153,Li7Mn2Co3O12,JVASP-57204,BaNdMn2O5,BaNdMn2O5,bulk,dft_3d,Ba-Mn-Nd-O,oxide,oxide,ABC2D5,unknown,unknown,0.35,False,True,True,Ba;Mn;Nd;O,2,0.5,False,True,True,123,,4,False,115.0,-2.57028,-2.57028,0.011,True,stable_or_known,related formula/prototype/chemistry/family with different symmetry or variant metadata,6.5,355,
boundary_contrast,JVASP-142153,Li7Mn2Co3O12,JVASP-52989,Sr3Mn4O12,Sr3Mn4O12,bulk,dft_3d,Mn-O-Sr,oxide,oxide,A3B4C12,unknown,unknown,0.35,False,True,True,Mn;O;Sr,2,0.5,False,True,True,164,,5,False,156.0,-2.1965500000000002,-2.1965500000000002,0.0813,,stable_or_known,related formula/prototype/chemistry/family with different symmetry or variant metadata,6.5,356,known_synthesized
boundary_contrast,JVASP-142153,Li7Mn2Co3O12,JVASP-24337,NaLiCO3,NaLiCO3,bulk,dft_3d,C-Li-Na-O,oxide,oxide,ABCD3,unknown,unknown,0.35,False,True,True,C;Li;Na;O,2,0.5,False,True,True,174,,6,False,166.0,-1.94567,-1.94567,0.0008,True,stable_or_known,related formula/prototype/chemistry/family with different symmetry or variant metadata,6.5,357,
boundary_contrast,JVASP-142153,Li7Mn2Co3O12,JVASP-150474,BaNdCo2O5,BaNdCo2O5,bulk,dft_3d,Ba-Co-Nd-O,oxide,oxide,ABC2D5,unknown,unknown,0.35,False,True,True,Ba;Co;Nd;O,2,0.5,False,True,True,123,,4,False,115.0,-2.20796,-2.20796,0.047400000000000005,,stable_or_known,related formula/prototype/chemistry/family with different symmetry or variant metadata,6.5,358,known_synthesized
boundary_contrast,JVASP-142153,Li7Mn2Co3O12,JVASP-144856,LiV3Zn2O8,LiV3Zn2O8,bulk,dft_3d,Li-O-V-Zn,oxide,oxide,AB2C3D8,unknown,unknown,0.35,False,True,True,Li;O;V;Zn,2,0.5,False,True,True,160,,5,False,152.0,-2.27112,-2.27112,0.0079,,stable_or_known,related formula/prototype/chemistry/family with different symmetry or variant metadata,6.5,359,known_synthesized
boundary_contrast,JVASP-142153,Li7Mn2Co3O12,JVASP-55439,Co4B6O13,Co4B6O13,bulk,dft_3d,B-Co-O,oxide,oxide,A4B6C13,unknown,unknown,0.35,False,True,True,B;Co;O,2,0.5,False,True,True,217,,7,False,209.0,-1.95428,-1.95428,0.038400000000000004,True,stable_or_known,related formula/prototype/chemistry/family with different symmetry or variant metadata,6.5,360,
boundary_contrast,JVASP-142153,Li7Mn2Co3O12,JVASP-50846,Sr2Li2Nb4O13,Sr2Li2Nb4O13,bulk,dft_3d,Li-Nb-O-Sr,oxide,oxide,A2B2C4D13,unknown,unknown,0.35,False,True,True,Li;Nb;O;Sr,2,0.5,False,True,True,139,,4,False,131.0,-2.8748,-2.8748,0.0308,,stable_or_known,related formula/prototype/chemistry/family with different symmetry or variant metadata,6.5,361,known_synthesized
boundary_contrast,JVASP-142153,Li7Mn2Co3O12,JVASP-27678,Mn4ZnCu3O12,Mn4Zn(CuO4)3,bulk,dft_3d,Cu-Mn-O-Zn,oxide,oxide,ABC4D4,unknown,unknown,0.35,False,True,True,Cu;Mn;O;Zn,2,0.5,False,True,True,204,,7,False,196.0,-1.41207,-1.41207,0.0665,,stable_or_known,related formula/prototype/chemistry/family with different symmetry or variant metadata,6.5,362,known_synthesized
boundary_contrast,JVASP-142153,Li7Mn2Co3O12,JVASP-141044,Li2Cr3NiO8,Li2Cr3NiO8,bulk,dft_3d,Cr-Li-Ni-O,oxide,oxide,AB2C3D8,unknown,unknown,0.35,False,True,True,Cr;Li;Ni;O,2,0.5,False,True,True,186,,6,False,178.0,-1.96214,-1.96214,0.0386,,stable_or_known,related formula/prototype/chemistry/family with different symmetry or variant metadata,6.5,363,known_synthesized
boundary_contrast,JVASP-142153,Li7Mn2Co3O12,JVASP-39034,Yb2Co2O5,Yb2Co2O5,bulk,dft_3d,Co-O-Yb,oxide,oxide,A2B2C5,unknown,unknown,0.35,False,True,True,Co;O;Yb,2,0.5,False,True,True,123,,4,False,115.0,-2.22245,-2.22245,0.0078000000000000005,,stable_or_known,related formula/prototype/chemistry/family with different symmetry or variant metadata,6.5,364,known_synthesized
boundary_contrast,JVASP-142153,Li7Mn2Co3O12,JVASP-99278,LiCu2O2,Li(CuO)2,bulk,dft_3d,Cu-Li-O,oxide,oxide,ABC,unknown,unknown,0.35,False,True,True,Cu;Li;O,2,0.5,False,True,True,137,,4,False,129.0,-1.0923100000000001,-1.0923100000000001,0.013900000000000001,True,stable_or_known,related formula/prototype/chemistry/family with different symmetry or variant metadata,6.5,365,
boundary_contrast,JVASP-142153,Li7Mn2Co3O12,JVASP-50976,LiTmO2,LiTmO2,bulk,dft_3d,Li-O-Tm,oxide,oxide,ABC2,unknown,unknown,0.35,False,True,True,Li;O;Tm,2,0.5,False,True,True,141,,4,False,133.0,-3.23039,-3.23039,0.0206,,stable_or_known,related formula/prototype/chemistry/family with different symmetry or variant metadata,6.5,366,known_synthesized
boundary_contrast,JVASP-142153,Li7Mn2Co3O12,JVASP-119554,TiCo3O8,TiCo3O8,bulk,dft_3d,Co-O-Ti,oxide,oxide,AB3C8,unknown,unknown,0.35,False,True,True,Co;O;Ti,2,0.5,False,True,True,186,,6,False,178.0,-1.53061,-1.53061,0.0854,,stable_or_known,related formula/prototype/chemistry/family with different symmetry or variant metadata,6.5,367,known_synthesized
boundary_contrast,JVASP-142153,Li7Mn2Co3O12,JVASP-110284,BaLaMnRuO6,BaLaMnRuO6,bulk,dft_3d,Ba-La-Mn-O-Ru,oxide,oxide,ABCDE6,unknown,unknown,0.35,False,True,True,Ba;La;Mn;O;Ru,2,0.5,False,True,True,216,,7,False,208.0,-2.37626,-2.37626,0.08650000000000001,,stable_or_known,related formula/prototype/chemistry/family with different symmetry or variant metadata,6.5,368,known_synthesized
boundary_contrast,JVASP-142153,Li7Mn2Co3O12,JVASP-44377,Li2Cr3SbO8,Li2Cr3SbO8,bulk,dft_3d,Cr-Li-O-Sb,oxide,oxide,AB2C3D8,unknown,unknown,0.35,False,True,True,Cr;Li;O;Sb,2,0.5,False,True,True,186,,6,False,178.0,-2.07367,-2.07367,0.0158,,stable_or_known,related formula/prototype/chemistry/family with different symmetry or variant metadata,6.5,369,known_synthesized
boundary_contrast,JVASP-142153,Li7Mn2Co3O12,JVASP-145652,Li2VCr3O8,Li2VCr3O8,bulk,dft_3d,Cr-Li-O-V,oxide,oxide,AB2C3D8,unknown,unknown,0.35,False,True,True,Cr;Li;O;V,2,0.5,False,True,True,186,,6,False,178.0,-2.3011,-2.3011,0.0122,,stable_or_known,related formula/prototype/chemistry/family with different symmetry or variant metadata,6.5,370,known_synthesized
boundary_contrast,JVASP-142153,Li7Mn2Co3O12,JVASP-18423,LiCuO2,LiCuO2,bulk,dft_3d,Cu-Li-O,oxide,oxide,ABC2,unknown,unknown,0.35,False,True,True,Cu;Li;O,2,0.5,False,True,True,166,,5,False,158.0,-1.19295,-1.19295,0.068,,stable_or_known,related formula/prototype/chemistry/family with different symmetry or variant metadata,6.5,371,known_synthesized
